Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
39336238,2018 May 31 12:00:00 AM,2018 May 31 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11216.0,1077 BEDFORD AVENUE,BEDFORD AVENUE,LEXINGTON AVENUE,QUINCY STREET,,,ADDRESS,BROOKLYN,,,Closed,2018 Jun 30 04:23:41 PM,2018 May 31 04:25:47 PM,03 BROOKLYN,BROOKLYN,"996,836","189,560",Unspecified,BROOKLYN,,,,,,,,40.68696623358,-73.95461806527,POINT (-73.95461806526916 40.686966233579405)
62794577,2024 Oct 17 09:34:49 PM,2024 Oct 17 09:34:49 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,11378.0,54-20 50 STREET,50 STREET,54 ROAD,55 AVENUE,54 ROAD,55 AVENUE,ADDRESS,MASPETH,50 STREET,,Closed,,2024 Dec 09 11:40:40 AM,02 QUEENS,QUEENS,"1,007,034","205,085",Unspecified,QUEENS,,,,,,,,40.72955828898,-73.91779413785,POINT (-73.91779413784515 40.72955828897882)
41064732,2018 Nov 29 12:00:00 AM,2018 Nov 30 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Building,11224.0,2850 WEST 17 STREET,WEST 17 STREET,,,,,LATLONG,BROOKLYN,,,Closed,2018 Dec 29 07:23:51 AM,2018 Nov 30 12:00:00 AM,Unspecified BROOKLYN,BROOKLYN,"988,336","149,714",Unspecified,BROOKLYN,,,,,,,,40.57760542409,-73.98529104085,POINT (-73.98529104084659 40.57760542408976)
20247594,2011 Apr 16 12:00:00 AM,2011 Apr 26 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11208.0,1004 HEGEMAN AVENUE,HEGEMAN AVENUE,ATKINS AVENUE,MONTAUK AVENUE,,,ADDRESS,BROOKLYN,,,Closed,2011 May 16 09:59:36 AM,2011 May 12 12:00:00 AM,05 BROOKLYN,BROOKLYN,"1,018,705","182,214",Unspecified,BROOKLYN,,,,,,,,40.66674502747,-73.87580160642,POINT (-73.87580160641936 40.66674502747116)
46714060,2020 Jul 02 07:37:40 PM,2020 Jul 02 07:37:40 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10452.0,1434 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST 171 STREET,MAJOR DEEGAN EXPWY ET 7 N NB,WEST  171 STREET,MAJOR DEEGAN EXPWY ET    7 N NB,ADDRESS,BRONX,UNDERCLIFF AVENUE,,Closed,,2020 Jul 02 07:37:40 PM,04 BRONX,BRONX,"1,004,934","246,831",Unspecified,BRONX,,,,,,,,40.8441449953,-73.92524249963,POINT (-73.92524249963296 40.84414499529663)
26976726,2013 Dec 24 12:00:00 AM,2013 Dec 24 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11237.0,845 HART STREET,HART STREET,KNICKERBOCKER AVENUE,IRVING AVENUE,,,ADDRESS,BROOKLYN,,,Closed,2014 Jan 23 12:56:04 PM,2013 Dec 24 01:00:34 PM,04 BROOKLYN,BROOKLYN,"1,005,760","195,141",Unspecified,BROOKLYN,,,,,,,,40.7022675902,-73.92242256843,POINT (-73.92242256842717 40.70226759020045)
20234191,2011 Apr 14 12:00:00 AM,2011 Apr 25 01:36:52 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,11435.0,86-25 VANWYCK EXPRESSWAY,VANWYCK EXPRESSWAY,PEDESTRIAN OVERPASS,87 AVENUE,,,ADDRESS,JAMAICA,,,Closed,2011 May 14 09:51:42 AM,2011 Apr 29 12:00:00 AM,08 QUEENS,QUEENS,"1,034,645","196,836",Unspecified,QUEENS,,,,,,,,40.70680259891,-73.81823417354,POINT (-73.81823417354263 40.70680259891275)
34854967,2016 Nov 23 12:00:00 AM,2016 Dec 01 03:33:14 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,11221.0,475 JEFFERSON AVENUE,JEFFERSON AVENUE,,,,,LATLONG,BROOKLYN,,,Closed,2016 Dec 23 09:46:15 PM,2016 Dec 01 03:33:14 PM,Unspecified BROOKLYN,BROOKLYN,"1,001,129","188,755",Unspecified,BROOKLYN,,,,,,,,40.68474954752,-73.93914061337,POINT (-73.93914061336619 40.68474954751789)
19508873,2011 Jan 01 12:00:00 AM,2011 Jan 10 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10466.0,859 EAST 230 STREET,EAST 230 STREET,BARNES AVENUE,BRONXWOOD AVENUE,,,ADDRESS,BRONX,,,Closed,2011 Jan 31 05:06:43 PM,2011 Jan 10 12:00:00 AM,Unspecified BRONX,BRONX,"1,024,614","263,530",Unspecified,BRONX,,,,,,,,40.88991057851,-73.8540132379,POINT (-73.8540132379036 40.88991057850595)
45533193,2020 Feb 03 12:48:56 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Catch Basin/Sewer,11215.0,188 PROSPECT PARK WEST,PROSPECT PARK WEST,14 STREET,BEND,14 STREET,BEND,ADDRESS,BROOKLYN,PROSPECT PARK WEST,,In Progress,,,06 BROOKLYN,BROOKLYN,"989,964","180,296",Unspecified,BROOKLYN,,,,,,,,40.66154574201,-73.97940461251,POINT (-73.97940461250603 40.661545742013196)
33468803,2016 May 29 12:00:00 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10468.0,2685 CRESTON AVENUE,CRESTON AVENUE,EAST KINGSBRIDGE ROAD,EAST 196 STREET,,,ADDRESS,BRONX,,,Assigned,2016 Jun 28 08:42:36 PM,2016 Jun 14 08:04:58 AM,07 BRONX,BRONX,"1,013,335","255,330",Unspecified,BRONX,,,,,,,,40.86744852035,-73.89484219122,POINT (-73.89484219121624 40.867448520345796)
36769853,2017 Jul 23 12:00:00 AM,2017 Aug 07 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10019.0,338 WEST 49 STREET,WEST 49 STREET,8 AVENUE,9 AVENUE,,,ADDRESS,NEW YORK,,,Closed,2017 Aug 22 03:52:03 PM,2017 Aug 07 12:00:00 AM,Unspecified MANHATTAN,MANHATTAN,"987,640","216,952",Unspecified,MANHATTAN,,,,,,,,40.76215892231,-73.98776271793,POINT (-73.98776271792975 40.76215892231125)
60445732,2024 Feb 28 10:55:26 PM,2024 Feb 28 10:55:26 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11211.0,396 HOOPER STREET,HOOPER STREET,SOUTH 2 STREET,SOUTH 1 STREET,SOUTH    2 STREET,SOUTH    1 STREET,ADDRESS,BROOKLYN,HOOPER STREET,,Closed,,2024 Feb 28 10:55:26 PM,01 BROOKLYN,BROOKLYN,"997,519","197,970",Unspecified,BROOKLYN,,,,,,,,40.71004872164,-73.95213877183,POINT (-73.9521387718259 40.71004872163909)
36651618,2017 Jul 09 12:00:00 AM,2017 Jul 14 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11217.0,,,,,6 AVENUE,DEAN STREET,INTERSECTION,BROOKLYN,,,Closed,2017 Aug 08 10:15:14 AM,2017 Jul 14 12:00:00 AM,06 BROOKLYN,BROOKLYN,"991,398","187,568",Unspecified,BROOKLYN,,,,,,,,40.68150471071,-73.97422823037,POINT (-73.97422823037412 40.68150471071293)
53740042,2022 Mar 25 09:00:10 PM,2022 Mar 25 09:00:10 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10075.0,252 EAST   77 STREET,EAST   77 STREET,3 AVENUE,2 AVENUE,3 AVENUE,2 AVENUE,ADDRESS,NEW YORK,EAST   77 STREET,,Closed,,2022 Mar 25 09:00:10 PM,08 MANHATTAN,MANHATTAN,"996,134","220,710",Unspecified,MANHATTAN,,,,,,,,40.77246631953,-73.9570942848,POINT (-73.95709428479995 40.77246631953379)
40389288,2018 Sep 26 12:00:00 AM,2019 Jan 16 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10032.0,2085 AMSTERDAM AVENUE,AMSTERDAM AVENUE,WEST 163 STREET,WEST 164 STREET,,,ADDRESS,NEW YORK,,,Closed,2018 Oct 26 02:45:44 PM,2019 Jan 16 12:00:00 AM,12 MANHATTAN,MANHATTAN,"1,001,068","244,114",Unspecified,MANHATTAN,,,,,,,,40.83669583309,-73.9392220646,POINT (-73.9392220646031 40.8366958330884)
50616829,2021 May 19 09:37:30 AM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10025.0,244 WEST  104 STREET,WEST  104 STREET,BROADWAY,WEST END AVENUE,BROADWAY,WEST END AVENUE,ADDRESS,NEW YORK,WEST  104 STREET,,In Progress,,,07 MANHATTAN,MANHATTAN,"992,840","230,777",Unspecified,MANHATTAN,,,,,,,,40.80010135773,-73.9689739908,POINT (-73.96897399080159 40.80010135773072)
58024588,2023 Jun 27 10:33:49 AM,2023 Jul 11 01:09:25 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11239.0,542 VANDALIA AVENUE,VANDALIA AVENUE,ELTON STREET,ESSEX STREET,ELTON STREET,ESSEX STREET,ADDRESS,BROOKLYN,VANDALIA AVENUE,,Closed,,2023 Jun 27 10:33:49 AM,05 BROOKLYN,BROOKLYN,"1,019,562","178,284",Unspecified,BROOKLYN,,,,,,,,40.65595467955,-73.87273300295,POINT (-73.87273300294828 40.65595467954725)
27585079,2014 Mar 06 12:00:00 AM,2014 Mar 06 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10455.0,733 PROSPECT AVENUE,PROSPECT AVENUE,DAWSON STREET,EAST 156 STREET,,,ADDRESS,BRONX,,,Closed,2014 Apr 05 02:18:55 PM,2014 Mar 06 02:23:56 PM,01 BRONX,BRONX,"1,011,157","236,903",Unspecified,BRONX,,,,,,,,40.81687872946,-73.9027907517,POINT (-73.90279075170285 40.81687872946484)
23222854,2012 May 14 12:00:00 AM,2012 Jun 08 10:50:19 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Mixed Use Building,10128.0,1724 2 AVENUE,2 AVENUE,EAST 89 STREET,EAST 90 STREET,,,ADDRESS,NEW YORK,,,Closed,2012 Jun 13 08:06:27 PM,2012 Jun 08 10:50:19 AM,08 MANHATTAN,MANHATTAN,"998,076","223,511",Unspecified,MANHATTAN,,,,,,,,40.78015150257,-73.95007717156,POINT (-73.95007717156378 40.780151502574405)
55604901,2022 Oct 04 05:14:01 PM,2022 Oct 04 05:14:01 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10001.0,288 10 AVENUE,10 AVENUE,WEST 26 STREET,WEST 27 DRIVE,WEST   26 STREET,WEST   27 DRIVE,ADDRESS,NEW YORK,10 AVENUE,,Closed,,2022 Oct 04 05:14:01 PM,04 MANHATTAN,MANHATTAN,"983,575","212,540",Unspecified,MANHATTAN,,,,,,,,40.75004973041,-74.00243618404,POINT (-74.00243618404062 40.750049730412215)
25219676,2013 Mar 20 12:00:00 AM,2013 Mar 22 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10312.0,445 BARTLETT AVENUE,BARTLETT AVENUE,BARLOW AVENUE,GURLEY AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,2013 Apr 19 06:32:19 AM,2013 Mar 22 12:00:00 AM,03 STATEN ISLAND,STATEN ISLAND,"937,442","142,974",Unspecified,STATEN ISLAND,,,,,,,,40.55898284063,-74.16845459346,POINT (-74.16845459346325 40.55898284062613)
45867058,2020 Mar 20 03:38:00 PM,2020 Mar 20 03:38:00 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10027.0,16 OLD BROADWAY,OLD BROADWAY,WEST 125 STREET,WEST 126 STREET,WEST  125 STREET,WEST  126 STREET,ADDRESS,NEW YORK,OLD BROADWAY,,Closed,,2020 Mar 20 03:38:00 PM,09 MANHATTAN,MANHATTAN,"996,096","236,364",Unspecified,MANHATTAN,,,,,,,,40.81543236103,-73.95720386746,POINT (-73.95720386746412 40.81543236103379)
29267668,2014 Nov 11 12:00:00 AM,2014 Dec 01 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10456.0,CLAY AVENUE,CLAY AVENUE,EAST 165 STREET,EAST 166 STREET,,,BLOCKFACE,BRONX,,,Closed,2014 Dec 11 10:48:50 AM,2014 Dec 01 12:00:00 AM,Unspecified BRONX,BRONX,"1,008,435","241,239",Unspecified,BRONX,,,,,,,,40.82878768705,-73.91260912173,POINT (-73.91260912172575 40.82878768704824)
57719327,2023 May 26 05:43:41 PM,2023 May 26 05:43:41 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Parking Lot/Garage,10305.0,70 BIONIA AVENUE,BIONIA AVENUE,KRAMER STREET,MC CLEAN AVENUE,KRAMER STREET,MC CLEAN AVENUE,ADDRESS,STATEN ISLAND,BIONIA AVENUE,,Closed,,2023 May 26 05:43:41 PM,02 STATEN ISLAND,STATEN ISLAND,"963,403","156,503",Unspecified,STATEN ISLAND,,,,,,,,40.59621630056,-74.0750668561,POINT (-74.07506685610251 40.59621630056395)
54735754,2022 Jul 09 10:12:33 PM,2022 Jul 09 10:12:33 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),11435.0,80-21 138 STREET,138 STREET,DEAD END,COOLIDGE AVENUE,DEAD END,COOLIDGE AVENUE,ADDRESS,JAMAICA,138 STREET,,Closed,,2022 Jul 09 10:12:33 PM,08 QUEENS,QUEENS,"1,033,742","200,142",Unspecified,QUEENS,,,,,,,,40.71588186105,-73.82146682252,POINT (-73.82146682251762 40.715881861053624)
33262237,2016 May 02 12:00:00 AM,2016 May 06 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Commercial Building,10456.0,1398 CLAY AVENUE,CLAY AVENUE,BEND,EAST 170 STREET,,,ADDRESS,BRONX,,,Closed,2016 Jun 01 08:59:24 PM,2016 May 06 12:00:00 AM,04 BRONX,BRONX,"1,009,731","244,287",Unspecified,BRONX,,,,,,,,40.83714992115,-73.9079145378,POINT (-73.90791453780459 40.83714992114942)
15722270,2010 Jan 13 12:46:21 PM,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10023.0,63 WEST 69 STREET,WEST 69 STREET,CENTRAL PARK WEST,COLUMBUS AVENUE,,,ADDRESS,NEW YORK,,,Pending,2010 Feb 12 12:46:21 PM,2010 Jan 13 12:59:02 PM,07 MANHATTAN,MANHATTAN,"990,054","221,631",Unspecified,MANHATTAN,,,,,,,,40.77500030622,-73.97904457763,POINT (-73.97904457763137 40.77500030621515)
48011608,2020 Oct 29 01:57:20 PM,2020 Dec 03 11:40:44 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10032.0,76 ST NICHOLAS PLACE,ST NICHOLAS PLACE,WEST 153 STREET,EDGECOMBE AVENUE,WEST  153 STREET,EDGECOMBE AVENUE,ADDRESS,NEW YORK,ST NICHOLAS PLACE,,Closed,,2020 Oct 29 01:57:20 PM,09 MANHATTAN,MANHATTAN,"1,000,634","241,478",Unspecified,MANHATTAN,,,,,,,,40.82946158953,-73.94079691863,POINT (-73.94079691863257 40.829461589531974)
48388262,2020 Dec 11 10:58:35 PM,2020 Dec 11 10:58:35 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11238.0,111 PUTNAM AVENUE,PUTNAM AVENUE,CLAVER PLACE,FRANKLIN AVENUE,CLAVER PLACE,FRANKLIN AVENUE,ADDRESS,BROOKLYN,PUTNAM AVENUE,,Closed,,2020 Dec 11 10:58:35 PM,03 BROOKLYN,BROOKLYN,"996,095","188,189",Unspecified,BROOKLYN,,,,,,,,40.683204175,-73.95729233371,POINT (-73.95729233370817 40.68320417499948)
64575330,2025 Apr 06 09:00:35 PM,2025 Apr 06 09:00:35 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11222.0,76 CLAY STREET,CLAY STREET,COMMERCIAL STREET,MANHATTAN AVENUE,COMMERCIAL STREET,MANHATTAN AVENUE,ADDRESS,BROOKLYN,CLAY STREET,,Closed,,2025 Apr 14 12:05:00 PM,01 BROOKLYN,BROOKLYN,"996,429","207,606",Unspecified,BROOKLYN,,,,,,,,40.73649877278,-73.95605295924,POINT (-73.9560529592359 40.73649877277941)
29184368,2014 Oct 30 12:00:00 AM,2014 Nov 07 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11221.0,1350 PUTNAM AVENUE,PUTNAM AVENUE,WILSON AVENUE,KNICKERBOCKER AVENUE,,,ADDRESS,BROOKLYN,,,Closed,2014 Nov 29 08:07:28 PM,2014 Nov 07 12:00:00 AM,04 BROOKLYN,BROOKLYN,"1,008,475","192,243",Unspecified,BROOKLYN,,,,,,,,40.69430624345,-73.91264114642,POINT (-73.91264114642102 40.69430624345377)
53732905,2022 Mar 24 06:26:42 AM,2022 Mar 24 06:26:42 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,11211.0,400 SOUTH    2 STREET,SOUTH    2 STREET,HOOPER STREET,HEWES STREET,HOOPER STREET,HEWES STREET,ADDRESS,BROOKLYN,SOUTH    2 STREET,,Closed,,2022 Mar 24 06:26:42 AM,01 BROOKLYN,BROOKLYN,"997,699","197,727",Unspecified,BROOKLYN,,,,,,,,40.70938147259,-73.95148999809,POINT (-73.95148999809369 40.70938147259127)
47954505,2020 Oct 23 11:35:20 AM,2020 Oct 23 03:04:41 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,3+ Family Apt. Building,10029.0,420 EAST  111 STREET,EAST  111 STREET,A NEW STREET,FRANKLIN D ROOSEVELT DRIVE,A NEW STREET,FRANKLIN D ROOSEVELT DRIVE,ADDRESS,NEW YORK,EAST  111 STREET,,Closed,,2020 Oct 23 11:35:42 AM,11 MANHATTAN,MANHATTAN,"1,001,824","227,931",Unspecified,MANHATTAN,,,,,,,,40.79227656115,-73.936532359,POINT (-73.93653235899903 40.792276561152036)
61401016,2024 Jun 07 04:47:36 PM,2024 Jun 07 04:47:36 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11434.0,114-81 177 PLACE,177 PLACE,177 PLACE,LINDEN BOULEVARD,177 PLACE,LINDEN BOULEVARD,ADDRESS,JAMAICA,,,Closed,,2024 Jul 05 11:09:07 AM,12 QUEENS,QUEENS,"1,047,652","191,657",Unspecified,QUEENS,,,,,,,,40.69250386132,-73.77136917727,POINT (-73.77136917726786 40.69250386132287)
30760395,2015 Jun 03 12:00:00 AM,2015 Jun 09 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10314.0,545 WATCHOGUE ROAD,WATCHOGUE ROAD,CAMBRIDGE AVENUE,TREMONT AVENUE,,,ADDRESS,STATEN ISLAND,,,Closed,2015 Jul 03 06:16:30 PM,2015 Jun 09 12:00:00 AM,01 STATEN ISLAND,STATEN ISLAND,"942,775","164,207",Unspecified,STATEN ISLAND,,,,,,,,40.61728964876,-74.14939232915,POINT (-74.14939232914713 40.6172896487589)
51077791,2021 Jul 02 08:07:55 PM,2021 Jul 02 08:07:55 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Vacant Lot,11238.0,178 PARK PLACE,PARK PLACE,CARLTON AVENUE,VANDERBILT AVENUE,CARLTON AVENUE,VANDERBILT AVENUE,ADDRESS,BROOKLYN,PARK PLACE,,Closed,,2021 Jul 02 08:07:55 PM,08 BROOKLYN,BROOKLYN,"992,118","186,033",Unspecified,BROOKLYN,,,,,,,,40.67729087305,-73.97163409738,POINT (-73.97163409738499 40.67729087304963)
61222838,2024 May 21 02:05:49 PM,2024 May 21 02:05:49 PM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,1-2 Family Dwelling,10309.0,80A POPLAR AVENUE,POPLAR AVENUE,,VETERANS ROAD EAST,,VETERANS ROAD EAST,ADDRESS,STATEN ISLAND,POPLAR AVENUE,,Closed,,2024 May 21 02:05:49 PM,03 STATEN ISLAND,STATEN ISLAND,"924,467","140,715",Unspecified,STATEN ISLAND,,,,,,,,40.55270435733,-74.21512943438,POINT (-74.21512943437851 40.55270435732645)
